PropertyID,Year Transferred to LB,Certified delinquent year,Amount,notes
06-172-0900.001,2017,2011,3627.04,
07-024-0800.000,2015,2016,2194.99,
13-028-0500.000,2005,2017,982.2,
13-028-0800.000,2016,2017,92.98,
15-139-1700.033,2014,2015,1598.82,
17-001-0705.000,2014,2015,457,
23-016-0800.000,2000,2016,3769.05,
23-109-1300.001,2011,2015,59.5,
23-109-1500.000,2011,2015,2743.12,
23-109-1600.000,2011,2015,27.16,
23-115-1000.000,2014,2015,501.99,
23-116-0400.000,2015,2015,123.9,
23-186-1400.000,1999,2015,10004.18,
24-014-1000.000,2010,2015,1787.42,
24-020-0700.000,2008,2015,2410.97,
24-027-0900.000,2011,2015,1971.51,
24-027-1000.000,2011,2015,350.95,
24-040-1300.000,2009,2017,6150.79,
24-040-1400.000,2014,2017,538.43,
25-054-1300.000,2014,2019,931.92,
25-054-1400.000,2014,2019,233.12,
25-054-1500.000,2014,2019,466.19,
25-055-0400.000,2014,2019,466.19,
25-055-0600.000,2014,2019,233.12,
25-055-0800.000,2014,2019,233.12,
25-055-0900.000,2014,2019,699.28,
25-055-01000.000,,,,
25-055-1600.000,2014,2019,241.12,
25-055-1700.000,2014,2019,255.11,
25-055-1800.000,2014,2019,170.25,
25-056-0100.000,2014,2019,699.28,
25-056-0200.000,2014,2019,186.46,
25-056-0300.000,2014,2019,466.19,
27-051-1100.000,2014,2018,337.29,
29-002-0900.000,2019,2019,,
29-012-1400.000,2002,2015,10778.33,
35-019-1600.000,,,,
35-032-1800.000,2004,2016,12331.98,
35-032-1801.000,2004,2016,531.63,
35-033-1000.000,2015,2019,4100.63,
35-048-1400.000,2015,2019,3237.04,
35-050-0500.000,2008,2016,4425.48,
36-046-1400.000,,,,
36-054-0200.000,,,,
36-085-1100.000,,,,
32-092-1700.000,,,,
01-010-0800.001,,,,
03-017-0301.000,,,,
03-020-1201.000,,,,
03-021-0500.000,,,,
03-025-1700.001,,,,
03-029-1700.000,,,,
04-014-0300.000,,,,
04-022-1100.000,,,,
04-026-0900.000,,,,
04-040-1100.000,,,,
04-045-0500.000,,,,
04-045-0502.000,,,,
04-055-0300.000,,,,
05-001-1800.000,,,,
05-002-0203.001,,,,
05-003-0300.000,,,,
05-009-0500.001,,,,
06-019-0400.000,,,,
06-019-1200.000,,,,
06-022-0200.000,,,,
06-029-1200.000,,,,
